frame,work_ms,stream_ms,interval_ms,pending,inflight,ready
138,7.012855,0.001460,8.386676,0,0,true
139,3.910733,0.001430,8.069226,0,0,true
140,6.610745,0.001710,7.967456,0,0,true
141,7.609356,0.001130,8.666786,0,0,true
142,4.997494,0.001090,8.665086,0,0,true
143,5.825034,0.001360,8.054146,0,0,true
144,7.332975,0.002180,7.882966,0,0,true
145,4.432303,0.001670,8.388766,0,0,true
146,7.457716,0.001540,8.488896,0,0,true
147,6.882145,0.001370,8.512916,0,0,true
148,3.726923,0.001670,7.938596,0,0,true
149,7.437915,0.001580,8.783507,0,0,true
150,7.219345,0.001390,8.493766,0,0,true
151,4.149533,0.001220,8.278906,0,0,true
152,6.974765,0.001330,8.206626,0,0,true
153,7.000265,0.001200,8.030576,0,0,true
154,4.221043,0.002080,9.057776,0,0,true
155,7.750386,0.001540,8.278036,0,0,true
156,5.712294,0.001490,7.793546,0,0,true
157,4.185863,0.001600,8.768836,0,0,true
158,7.813436,0.001630,8.243046,0,0,true
159,6.352555,0.001150,7.816086,0,0,true
160,3.656493,0.002060,8.412176,0,0,true
161,7.937516,0.001950,8.715946,0,0,true
162,6.359195,0.001950,7.941196,0,0,true
163,3.734323,0.001450,8.415316,0,0,true
164,7.937725,0.001410,8.790837,0,0,true
165,6.675775,0.001760,7.941005,0,0,true
166,3.871933,0.001730,8.733397,0,0,true
167,7.746915,0.001930,7.930606,0,0,true
168,7.171575,0.001930,8.840406,0,0,true
169,4.059733,0.001980,8.232876,0,0,true
170,6.328515,0.001690,8.118086,0,0,true
171,7.655456,0.001990,8.389406,0,0,true
172,4.826313,0.001970,7.945076,0,0,true
173,7.060346,0.001890,9.112476,0,0,true
174,7.168946,0.001920,8.131576,0,0,true
175,4.047043,0.001990,8.238196,0,0,true
176,7.216065,0.001910,8.117906,0,0,true
177,7.175055,0.001980,8.283996,0,0,true
178,4.289463,0.112620,8.250406,87,32,true
179,8.228976,0.535331,8.350636,65,32,true
180,5.501034,0.416871,8.281456,33,32,true
181,4.100903,0.388470,8.557987,1,1,true
182,7.611246,0.045841,8.162425,87,32,true
183,7.545175,0.370700,8.668197,55,32,true
184,4.362633,0.459771,7.548895,23,23,true
185,4.188033,0.266091,8.421346,0,0,true
186,7.520526,0.001420,8.245846,0,0,true
187,7.294555,0.001480,8.577137,0,0,true
188,4.745223,0.001270,8.350376,0,0,true
189,7.200755,0.001760,8.802466,0,0,true
190,6.841445,0.001350,8.256816,0,0,true
191,3.874823,0.001310,7.897456,0,0,true
192,7.645176,0.001680,8.932776,0,0,true
193,6.311105,0.001630,7.648656,0,0,true
194,3.722973,0.001820,8.371146,0,0,true
195,7.655706,0.001920,8.783476,0,0,true
196,6.612235,0.001350,7.659236,0,0,true
197,3.845843,0.002210,8.672106,0,0,true
198,7.759675,0.002160,8.906777,0,0,true
199,6.714465,0.001770,7.762955,0,0,true
200,3.975673,0.005190,8.771187,0,0,true
201,7.670265,0.001850,8.034626,0,0,true
202,7.160175,0.001450,8.726926,0,0,true
203,3.928693,0.001450,8.216936,0,0,true
204,6.365784,0.001750,7.986196,0,0,true
205,7.809336,0.002300,8.440906,0,0,true
206,4.606463,0.002150,7.813416,0,0,true
207,2.910492,0.002400,8.667816,0,0,true
208,8.006816,0.002380,8.969946,0,0,true
209,7.475256,0.002150,8.010996,0,0,true
210,4.443294,0.002210,8.536446,0,0,true
211,7.322235,0.001860,8.502487,0,0,true
212,5.603834,0.001740,7.325725,0,0,true
213,3.955063,0.001390,8.660056,0,0,true
214,8.030736,0.001280,9.014227,0,0,true
215,6.494774,0.001730,8.034506,0,0,true
216,3.776733,0.001280,8.551586,0,0,true
217,7.892735,0.001900,7.836826,0,0,true
218,5.918145,0.001630,7.896635,0,0,true
219,4.118343,0.002050,8.978787,0,0,true
220,8.141776,0.002320,8.177426,0,0,true
221,6.329004,0.001720,8.149666,0,0,true
222,3.679232,0.002010,8.387456,0,0,true
223,8.156226,0.002020,8.737096,0,0,true
224,6.323275,0.001730,8.159866,0,0,true
225,3.613683,0.002160,8.382426,0,0,true
226,8.309507,0.001910,8.673476,0,0,true
227,6.670494,0.001720,8.312967,0,0,true
228,3.518533,0.001410,7.726155,0,0,true
229,6.864415,0.002030,8.578736,0,0,true
230,7.783466,0.049070,7.924266,87,32,true
231,5.015343,0.427240,8.844827,55,32,true
232,4.955024,0.394411,8.075945,23,23,true
233,8.465996,0.258770,8.023056,0,0,true
234,4.956694,0.001510,8.473516,0,0,true
235,4.934414,0.001960,9.026907,0,0,true
236,8.321936,0.002020,8.004256,0,0,true
237,5.757184,0.001680,8.325466,0,0,true
238,3.569052,0.001880,7.826396,0,0,true
239,8.446586,0.001920,8.846136,0,0,true
240,6.414795,0.001470,8.456436,0,0,true
241,3.581223,0.002230,8.473876,0,0,true
242,8.084106,0.121810,7.639926,87,32,true
243,7.893335,0.437470,9.141007,55,32,true
244,4.066473,0.397271,7.897045,23,23,true
245,3.592053,0.289020,8.095266,0,0,true
246,8.488427,0.001990,8.652976,0,0,true
247,7.194295,0.001450,8.494587,0,0,true
248,3.745232,0.002050,8.253856,0,0,true
249,4.710624,0.001860,7.805865,0,0,true
250,8.721526,0.001960,8.769837,0,0,true
251,6.629325,0.001510,8.725386,0,0,true
252,3.508612,0.001580,7.688186,0,0,true
253,6.562935,0.001960,8.578106,0,0,true
254,8.443036,0.001910,8.632316,0,0,true
255,4.762004,0.001340,8.447096,0,0,true
256,3.478822,0.001910,7.831926,0,0,true
257,8.596146,0.003690,8.548046,0,0,true
258,7.113466,0.001500,8.602866,0,0,true
259,3.598733,0.002260,8.185556,0,0,true
260,3.817713,0.002040,7.669666,0,0,true
261,8.760837,0.001960,8.886566,0,0,true
262,7.320805,0.001460,8.765587,0,0,true
263,3.768193,0.001670,8.387776,0,0,true
264,4.441163,0.001890,7.837466,0,0,true
265,8.797946,0.001900,8.510166,0,0,true
266,6.930895,0.001360,8.801526,0,0,true
267,3.473623,0.002700,7.990006,0,0,true
268,4.757854,0.002600,8.533756,0,0,true
269,8.799946,0.002230,7.819236,0,0,true
270,5.996355,0.001680,8.806856,0,0,true
271,3.543093,0.001420,8.053246,0,0,true
272,8.831027,0.001930,8.600646,0,0,true
273,6.363984,0.001530,8.834857,0,0,true
274,3.464003,0.002000,7.435155,0,0,true
275,5.880185,0.001880,8.532886,0,0,true
276,8.914676,0.001920,8.951107,0,0,true
277,5.461774,0.002430,8.975296,0,0,true
278,3.497992,0.128850,7.522686,87,32,true
279,9.378177,0.403060,8.559446,55,32,true
280,6.246755,0.381210,9.382007,23,23,true
281,3.805513,0.309590,8.306536,0,0,true
282,7.692565,0.001480,7.861966,0,0,true
283,7.469736,0.001280,8.748526,0,0,true
284,3.791322,0.001440,7.472456,0,0,true
285,3.844643,0.002020,8.850106,0,0,true
286,8.746976,0.001680,7.901406,0,0,true
287,7.034955,0.001780,8.778626,0,0,true
288,3.643373,0.001840,8.092126,0,0,true
289,7.215606,0.001780,8.701416,0,0,true
290,7.820116,0.001620,8.272276,0,0,true
291,3.998943,0.001620,7.823096,0,0,true
292,4.237033,0.001850,9.057547,0,0,true
293,8.703026,0.001140,8.293696,0,0,true
294,6.679545,0.002030,8.705996,0,0,true
295,3.445132,0.001650,7.736126,0,0,true
296,6.651575,0.001390,8.500996,0,0,true
297,8.461826,0.001710,8.710416,0,0,true
298,4.683954,0.001380,8.464326,0,0,true
299,3.497472,0.002380,7.744346,0,0,true
300,8.695396,0.002090,8.556266,0,0,true
301,6.998606,0.001520,8.720246,0,0,true
302,3.529573,0.001660,8.054966,0,0,true
303,5.633374,0.002040,8.588057,0,0,true
304,8.597126,0.001540,7.690145,0,0,true
305,4.938284,0.001710,8.601236,0,0,true
306,3.729913,0.039390,7.994726,87,32,true
307,9.260506,0.533670,8.802457,60,32,true
308,7.138736,0.449751,9.264586,28,28,true
309,3.662933,0.279191,8.194766,0,0,true
310,3.593603,0.001500,7.719216,0,0,true
311,8.412466,0.001250,8.649806,0,0,true
312,6.991945,0.001780,8.416466,0,0,true
313,3.736693,0.002240,8.050856,0,0,true
314,7.692055,0.002140,8.795567,0,0,true
315,6.458175,0.001740,7.695805,0,0,true
316,3.579173,0.001920,8.523876,0,0,true
317,8.336626,0.001830,8.637687,0,0,true
318,6.483374,0.001630,8.340696,0,0,true
319,3.669513,0.001850,8.541876,0,0,true
320,7.554255,0.001850,7.728116,0,0,true
321,7.059525,0.001600,8.614256,0,0,true
322,3.888183,0.002010,8.121026,0,0,true
323,8.086366,0.002070,8.945546,0,0,true
324,6.472575,0.001350,8.114286,0,0,true
325,4.247383,0.003110,8.531796,0,0,true
326,7.921166,0.052030,8.304796,87,32,true
327,6.903155,0.421940,7.925076,55,32,true
328,3.998663,0.401080,7.959756,23,23,true
329,8.438476,0.351080,9.058077,0,0,true
330,6.500964,0.001510,8.443346,0,0,true
331,3.477043,0.001600,7.559005,0,0,true
332,6.630215,0.001470,8.533626,0,0,true
333,8.210496,0.001410,8.685177,0,0,true
334,4.891693,0.001290,8.213456,0,0,true
335,3.444413,0.001220,7.947675,0,0,true
336,8.544466,0.001190,8.500287,0,0,true
337,6.633695,0.001490,8.548146,0,0,true
338,3.637013,0.001970,8.690746,0,0,true
339,7.758515,0.001250,7.694186,0,0,true
340,7.550336,0.001230,8.813836,0,0,true
341,3.902503,0.002080,7.592276,0,0,true
342,4.696674,0.001410,8.958326,0,0,true
343,8.914586,0.001440,7.752976,0,0,true
344,6.161455,0.001460,8.918256,0,0,true
345,3.644923,0.001360,8.217826,0,0,true
346,8.855456,0.001280,8.700587,0,0,true
347,6.032524,0.002240,8.858526,0,0,true
348,3.518342,0.001960,8.091776,0,0,true
