Renderer: OpenGL | 4.6 (Core Profile) Mesa 26.2.2-arch3.2 | AMD | AMD Radeon RX 6700 XT (radeonsi, navi22, ACO, DRM 3.64, 7.2.2-1-cachyos)
1920x1080, 556-block view, sun elevation 60 degrees, 200 timed frames per case; readback included, instrumentation excluded from timing
ground,before,0,3.0806,3.7447,5.0984,0.0000,0.0000,0.000,0.000,0.000,0.0000,0.000,0.000
ground,disabled,0,3.0688,3.2061,3.2815,0.0000,0.0000,52.108,0.000,0.000,0.0000,0.000,0.000
ground,enabled,32,3.1893,3.4113,3.4434,9.5239,1.5582,52.108,0.000,15.729,1.1171,0.000,0.000
ground,enabled,64,3.2104,3.4491,3.5986,9.5373,2.7402,52.108,0.000,15.729,1.1207,0.000,0.000
ground,enabled,96,3.2139,3.3657,3.5505,9.5373,3.9941,52.108,0.000,15.729,1.1207,0.000,0.000
ground,enabled,128,3.2766,3.6419,3.6932,9.5373,5.0240,52.108,49.897,15.729,1.1207,0.000,0.000
horizon,before,0,2.5368,3.0126,3.0599,0.0000,0.0000,0.000,0.000,0.000,0.0000,0.000,0.000
horizon,disabled,0,2.5277,2.9878,3.0850,0.0000,0.0000,80.684,0.000,0.000,0.0000,0.000,0.000
horizon,enabled,32,2.5969,3.1950,3.4098,7.4162,1.5481,80.684,0.000,25.712,0.4455,0.000,0.000
horizon,enabled,64,2.5917,2.9229,3.0914,7.4771,2.4294,80.684,0.000,25.719,0.4455,0.000,0.000
horizon,enabled,96,2.6214,2.8899,2.9723,7.4771,3.5689,80.684,24.073,25.719,0.4455,0.000,0.000
horizon,enabled,128,2.6146,2.8965,2.9635,7.4771,3.8946,80.684,61.828,25.719,0.4455,0.000,0.000
downward,before,0,2.1731,2.4101,2.4195,0.0000,0.0000,0.000,0.000,0.000,0.0000,0.000,0.000
downward,disabled,0,2.1729,2.2670,2.2938,0.0000,0.0000,17.022,0.000,0.000,0.0000,0.000,0.000
downward,enabled,32,2.3581,2.4827,2.6778,7.2029,1.5758,17.022,0.000,20.635,1.1248,0.000,0.000
downward,enabled,64,2.4191,2.5186,2.5618,7.2475,2.6789,17.022,0.000,20.635,1.1481,0.000,0.000
downward,enabled,96,2.4377,2.6562,2.7295,7.2475,3.7383,17.022,17.090,20.635,1.1481,0.000,0.000
downward,enabled,128,2.4496,2.5866,2.6406,7.2475,4.4787,17.022,33.949,20.635,1.1481,0.000,0.000
cave,before,0,2.2103,2.6150,3.0530,0.0000,0.0000,0.000,0.000,0.000,0.0000,0.000,0.000
cave,disabled,0,2.2098,2.4870,2.6006,0.0000,0.0000,64.804,0.000,0.000,0.0000,0.000,0.000
cave,enabled,32,2.2714,2.6993,2.7836,4.9293,0.0000,64.804,0.000,100.000,4.9293,0.000,0.000
cave,enabled,64,2.2700,2.5409,2.6387,4.9293,0.0000,64.804,0.000,100.000,4.9293,0.000,0.000
cave,enabled,96,2.2635,2.5470,2.6380,4.9293,0.0000,64.804,0.000,100.000,4.9293,0.000,0.000
cave,enabled,128,2.2626,2.5427,2.6475,4.9293,0.0000,64.804,0.000,100.000,4.9293,0.000,0.000
cave-ceiling,before,0,1.7543,2.0659,2.1236,0.0000,0.0000,0.000,0.000,0.000,0.0000,0.000,0.000
cave-ceiling,disabled,0,1.7545,2.0764,2.1032,0.0000,0.0000,95.272,0.000,0.000,0.0000,0.000,0.000
cave-ceiling,enabled,32,1.7642,2.0200,2.3164,1.2356,0.0000,95.272,0.000,100.000,1.2356,0.000,0.000
cave-ceiling,enabled,64,1.7642,2.0996,2.1916,1.2356,0.0000,95.272,0.000,100.000,1.2356,0.000,0.000
cave-ceiling,enabled,96,1.7637,2.0558,2.1576,1.2356,0.0000,95.272,0.000,100.000,1.2356,0.000,0.000
cave-ceiling,enabled,128,1.7701,2.1215,2.1746,1.2356,0.0000,95.272,0.000,100.000,1.2356,0.000,0.000
