frame,work_ms,stream_ms,interval_ms,pending,inflight,ready
138,7.820976,0.001270,8.171366,0,0,true
139,7.274186,0.001330,8.877196,0,0,true
140,4.327703,0.000950,8.330177,0,0,true
141,4.211123,0.001200,7.384495,0,0,true
142,7.731975,0.001290,9.267747,0,0,true
143,6.771935,0.001050,7.735075,0,0,true
144,4.026053,0.001820,8.831177,0,0,true
145,7.625425,0.001780,8.086226,0,0,true
146,6.802325,0.001800,8.684306,0,0,true
147,3.738192,0.001750,7.862696,0,0,true
148,7.552345,0.001800,8.797056,0,0,true
149,6.125655,0.001360,7.555795,0,0,true
150,3.433243,0.001720,8.170116,0,0,true
151,7.318725,0.001290,8.492457,0,0,true
152,7.277765,0.001800,8.378886,0,0,true
153,4.217883,0.001890,8.337056,0,0,true
154,6.745195,0.001640,8.277266,0,0,true
155,7.532036,0.001080,8.801596,0,0,true
156,4.590924,0.001380,8.590916,0,0,true
157,4.852694,0.001150,7.647126,0,0,true
158,7.874226,0.001040,8.908856,0,0,true
159,6.146775,0.001520,7.878116,0,0,true
160,3.394483,0.001380,8.203536,0,0,true
161,7.800906,0.001780,8.451706,0,0,true
162,7.385665,0.001510,8.857137,0,0,true
163,4.263353,0.001560,8.444726,0,0,true
164,6.786955,0.002170,8.326556,0,0,true
165,6.758565,0.001210,7.842706,0,0,true
166,3.954873,0.001420,8.814866,0,0,true
167,7.670065,0.001880,8.013076,0,0,true
168,5.599715,0.001160,7.673235,0,0,true
169,3.972973,0.001990,8.658977,0,0,true
170,7.782226,0.001660,9.032456,0,0,true
171,6.647285,0.001690,7.785866,0,0,true
172,3.835083,0.001900,8.708046,0,0,true
173,7.571566,0.001880,7.893966,0,0,true
174,7.000185,0.001960,8.630386,0,0,true
175,3.823343,0.001670,8.058696,0,0,true
176,7.495375,0.001900,8.881997,0,0,true
177,6.171805,0.001230,7.498115,0,0,true
178,3.728293,0.040650,8.231706,87,32,true
179,8.417237,0.528321,8.788116,60,32,true
180,6.955805,0.432340,8.423717,28,28,true
181,3.730853,0.295091,8.013195,0,0,true
182,6.981915,0.036730,8.789867,87,32,true
183,7.481895,0.349350,8.038976,55,32,true
184,4.782273,0.501760,8.539296,23,23,true
185,6.756275,0.272800,7.852616,0,0,true
186,7.341125,0.001850,8.825086,0,0,true
187,4.716764,0.001850,8.412236,0,0,true
188,5.764974,0.001770,7.787016,0,0,true
189,7.550516,0.001780,8.826216,0,0,true
190,6.660515,0.001400,8.606376,0,0,true
191,3.672513,0.001220,7.716426,0,0,true
192,7.351446,0.001300,8.729096,0,0,true
193,7.078725,0.001120,8.407157,0,0,true
194,4.403674,0.000920,8.134325,0,0,true
195,7.293965,0.001200,8.460047,0,0,true
196,6.828785,0.001090,8.318936,0,0,true
197,3.790803,0.001330,7.896575,0,0,true
198,7.666306,0.002010,9.160037,0,0,true
199,6.549714,0.001560,7.669906,0,0,true
200,3.785553,0.001410,8.617506,0,0,true
201,7.691165,0.001760,7.856076,0,0,true
202,7.148655,0.001360,8.758216,0,0,true
203,3.977203,0.001850,8.219786,0,0,true
204,5.971334,0.001400,8.035516,0,0,true
205,7.849766,0.001800,9.048066,0,0,true
206,5.924634,0.001340,7.852016,0,0,true
207,3.842103,0.001020,7.984536,0,0,true
208,7.821826,0.001210,8.899046,0,0,true
209,6.639885,0.001180,7.825136,0,0,true
210,3.951383,0.001840,8.700726,0,0,true
211,7.737686,0.001360,8.008166,0,0,true
212,6.988805,0.001420,8.794467,0,0,true
213,3.931433,0.001400,8.045595,0,0,true
214,6.308975,0.001760,7.992396,0,0,true
215,7.657826,0.001170,8.367566,0,0,true
216,5.206483,0.001930,8.718127,0,0,true
217,6.878325,0.001820,8.267476,0,0,true
218,7.241536,0.001860,7.940995,0,0,true
219,4.729774,0.001800,9.302337,0,0,true
220,7.834246,0.001480,7.788486,0,0,true
221,6.136115,0.001500,8.890656,0,0,true
222,4.554924,0.002220,8.192786,0,0,true
223,8.023976,0.001870,7.611486,0,0,true
224,4.373464,0.002470,9.083136,0,0,true
225,4.036433,0.002240,8.434597,0,0,true
226,8.342817,0.001720,8.093625,0,0,true
227,7.043845,0.003680,8.350147,0,0,true
228,3.789083,0.001680,8.100515,0,0,true
229,5.254694,0.001890,7.847736,0,0,true
230,8.362586,0.048710,8.311656,87,32,true
231,6.252945,0.399641,8.368766,55,32,true
232,3.885863,0.383981,8.309906,23,23,true
233,8.604336,0.266590,8.944977,0,0,true
234,6.340335,0.002550,8.610026,0,0,true
235,3.618843,0.001420,8.397236,0,0,true
236,7.708845,0.001630,7.675736,0,0,true
237,7.301105,0.001380,8.764846,0,0,true
238,3.902413,0.001590,8.358986,0,0,true
239,4.276663,0.001220,7.958576,0,0,true
240,8.381576,0.001790,8.334696,0,0,true
241,6.612565,0.002510,8.387656,0,0,true
242,3.738673,0.032661,8.669656,87,32,true
243,8.898177,0.495231,7.796966,55,32,true
244,5.714674,0.386050,8.903667,23,23,true
245,3.697513,0.286720,7.771505,0,0,true
246,8.467316,0.001820,8.756637,0,0,true
247,6.532705,0.002340,8.472596,0,0,true
248,3.481743,0.001140,7.588425,0,0,true
249,5.969164,0.001780,8.540927,0,0,true
250,8.536356,0.001780,9.027896,0,0,true
251,5.538554,0.002320,8.539666,0,0,true
252,3.445832,0.001730,7.597476,0,0,true
253,8.568926,0.001750,8.504386,0,0,true
254,6.788015,0.002770,8.619116,0,0,true
255,3.479673,0.001570,7.844436,0,0,true
256,7.434466,0.001780,8.538416,0,0,true
257,7.491526,0.002610,8.492406,0,0,true
258,3.946202,0.002400,8.549727,0,0,true
259,4.599744,0.002200,8.004785,0,0,true
260,8.737786,0.001690,8.656817,0,0,true
261,6.257225,0.002860,8.769356,0,0,true
262,3.624523,0.001840,8.316706,0,0,true
263,7.521015,0.001460,7.680956,0,0,true
264,7.356525,0.001400,8.571836,0,0,true
265,3.741093,0.001520,8.413316,0,0,true
266,3.970393,0.001770,7.799576,0,0,true
267,8.796037,0.001790,9.028236,0,0,true
268,7.102445,0.003190,8.827107,0,0,true
